schema:identifier,schema:latitude,schema:longitude,ksj:NOO,ksj:NPL,ksj:AS3,ksj:DSO,ksj:PAN,ksj:PMP,ksj:CSB,ksj:TPE,ksj:CSU,ksj:DEM,ksj:DEC,ksj:DEE,ksj:DSH,ksj:STS,ksj:FUT,ksj:DBP,ksj:DPS,ksj:DAC,ksj:NWS,ksj:GRP,ksj:TWG,ksj:MGP,ksj:MUW,ksj:MER,ksj:UPP,ksj:LOP,ksj:CWW,ksj:TWW,ksj:NWW,ksj:HPC
fc04_1,26.3803050709411,127.875084219936,沖縄電力株式会社,具志川火力発電所,沖縄県うるま市字宇堅657番地,1994-03,1,156,専焼,3,石炭,湿式,510,100,,,,,,,,,,,,,,,,,,
fc04_2,26.3803050709411,127.875084219936,沖縄電力株式会社,具志川火力発電所,沖縄県うるま市字宇堅657番地,1995-03,2,156,専焼,3,石炭,湿式,510,100,,,,,,,,,,,,,,,,,,
fc04_3,26.4312210470699,127.840695237211,電源開発株式会社,石川石炭火力発電所,沖縄県うるま市石川橋崎,1986-11,1,156,専焼,3,石炭,湿式,0,0,,,,,,,,,,,,,,,,,,
fc04_4,26.4312210470699,127.840695237211,電源開発株式会社,石川石炭火力発電所,沖縄県うるま市石川橋崎,1987-03,2,156,専焼,3,石炭,湿式,0,0,,,,,,,,,,,,,,,,,,
fc04_5,32.4881108758754,130.042889242499,九州電力株式会社,苓北火力発電所,熊本県天草郡苓北町年柄字苓陽1091番地,1995-12,1,700,専焼,3,石炭,湿式,2452,100,,,,,,,,,,,,,,,,,,
fc04_6,32.4881108758754,130.042889242499,九州電力株式会社,苓北火力発電所,熊本県天草郡苓北町年柄字苓陽1091番地,2003-06,2,700,専焼,3,石炭,湿式,2118,100,,,,,,,,,,,,,,,,,,
fc04_7,32.9414168134604,129.59727831842,電源開発株式会社,松島火力発電所,長崎県西海市大瀬戸町,1981-01,1,500,専焼,3,石炭,湿式,0,0,,,,,,,,,,,,,,,,,,
fc04_8,32.9414168134604,129.59727831842,電源開発株式会社,松島火力発電所,長崎県西海市大瀬戸町,1981-06,2,500,専焼,3,石炭,湿式,0,0,,,,,,,,,,,,,,,,,,
fc04_9,33.3505558304205,129.683611300379,九州電力株式会社,松浦火力発電所,長崎県松浦市志佐町白浜免字開発2091番地1,1989-06,1,700,専焼,3,石炭,湿式,2452,100,,,,,,,,,,,,,,,,,,
fc04_10,33.3505558304205,129.683611300379,九州電力株式会社,松浦火力発電所,長崎県松浦市志佐町白浜免字開発2091番地1,2023,2,1000,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_11,33.3548328314218,129.68975029922,電源開発株式会社,松浦火力発電所,長崎県松浦市志佐町,1990-06,1,1000,専焼,3,石炭,湿式,3401,100,,,,,,,,,,,,,,,,,,
fc04_12,33.3548328314218,129.68975029922,電源開発株式会社,松浦火力発電所,長崎県松浦市志佐町,1997-07,2,1000,専焼,3,石炭,湿式,3300,100,,,,,,,,,,,,,,,,,,
fc04_13,33.7869439562887,130.997361121986,九州電力株式会社,苅田火力発電所,福岡県京都郡苅田町長浜町1番地1,2001-07,新1,360,専焼,3,石炭,炉内,1270,100,,,,,,,,,,,,,,,,,,
fc04_14,34.0020559568585,131.000500121427,中国電力株式会社,下関火力発電所,山口県下関市長府港町9-1,1967-03,1,175,混焼,3,重油,湿式,638,100,,,,,,,,,,,,,,,,,,
fc04_15,33.9684439640394,131.164111107161,中国電力株式会社,新小野田火力発電所,山口県山陽小野田市新沖2丁目1番1号,1986-04,1,500,混焼,3,重油,湿式,1778,100,,,,,,,,,,,,,,,,,,
fc04_16,33.9684439640394,131.164111107161,中国電力株式会社,新小野田火力発電所,山口県山陽小野田市新沖2丁目1番1号,1987-01,2,500,混焼,3,重油,湿式,1778,100,,,,,,,,,,,,,,,,,,
fc04_17,33.9337219974917,133.168500015241,四国電力株式会社,西条火力発電所,愛媛県西条市喜多川853,1965-11,1,156,混焼,3,重油,湿式,648,100,1983-07,,,,,,,,,,,,,,,,,
fc04_18,33.9337219974917,133.168500015241,四国電力株式会社,西条火力発電所,愛媛県西条市喜多川853,1970-06,2,250,混焼,3,重油,湿式,918,100,1984-01,,,,,,,,,,,,,,,,,
fc04_19,33.9534169977976,133.249306013695,住友共同電力株式会社,新居浜西火力発電所,愛媛県新居浜市磯浦町16番5号,1959-08,1,75,混焼,3,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_20,33.9534169977976,133.249306013695,住友共同電力株式会社,新居浜西火力発電所,愛媛県新居浜市磯浦町16番5号,1962-09,2,75,混焼,3,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_21,33.9754439979229,133.284583013047,住友共同電力株式会社,新居浜東火力発電所,愛媛県新居浜市菊本町1丁目10番2号,1969-02,1,27,混焼,3,重油,炉内,273,100,1986-07,,,,,,,,,,,,,,,,,
fc04_22,34.3380559966111,132.956444019666,電源開発株式会社,竹原火力発電所,広島県竹原市忠海長浜2-1-1,1967-07,1,250,専焼,3,石炭,湿式,1021,100,,,,,,,,,,,,,,,,,,
fc04_23,34.3380559966111,132.956444019666,電源開発株式会社,竹原火力発電所,広島県竹原市忠海長浜2-1-1,1974-06,2,350,専焼,3,石炭,炉内,1163,100,1995-06,,,,,,,,,,,,,,,,,
fc04_24,34.3380559966111,132.956444019666,電源開発株式会社,竹原火力発電所,広島県竹原市忠海長浜2-1-1,1983-03,3,700,専焼,3,石炭,湿式,2414,100,,,,,,,,,,,,,,,,,,
fc04_25,34.7540830002872,134.766805993713,電源開発株式会社,高砂火力発電所,兵庫県高砂市梅井,1968-07,1,250,専焼,3,石炭,湿式,0,0,,,,,,,,,,,,,,,,,,
fc04_26,34.7540830002872,134.766805993713,電源開発株式会社,高砂火力発電所,兵庫県高砂市梅井,1969-01,2,250,専焼,3,石炭,湿式,0,0,,,,,,,,,,,,,,,,,,
fc04_27,36.7651940101082,137.128332844101,北陸電力株式会社,富山新港火力発電所,富山県射水市堀江千石,1981-11,2,500,専焼,8,原油,,1470,100,,,,,,,,,,,,,,,,,,
fc04_28,36.7651940101082,137.128332844101,北陸電力株式会社,富山新港火力発電所,富山県射水市堀江千石,1971-09,石炭1,250,専焼,3,重油,湿式,895,100,1984-11,,,,,,,,,,,,,,,,,
fc04_29,37.0649720091149,137.005527857669,北陸電力株式会社,七尾大田火力発電所,石川県七尾市大田町114部2-4,1995-03,1,500,専焼,3,石炭,湿式,1800,100,,,,,,,,,,,,,,,,,,
fc04_30,37.0649720091149,137.005527857669,北陸電力株式会社,七尾大田火力発電所,石川県七尾市大田町114部2-4,1998-07,2,700,専焼,3,石炭,湿式,2480,100,,,,,,,,,,,,,,,,,,
fc04_31,36.9128062554514,140.81516363094,常磐共同火力株式会社,勿来火力発電所,福島県いわき市佐糠町大島20,1966-11,6,175,専焼,8,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_32,36.9128062554514,140.81516363094,常磐共同火力株式会社,勿来火力発電所,福島県いわき市佐糠町大島20,1970-10,7,250,混焼,3,重油,炉内,0,0,,,,,,,,,,,,,,,,,,
fc04_33,36.9128062554514,140.81516363094,常磐共同火力株式会社,勿来火力発電所,福島県いわき市佐糠町大島20,1983-09,8,600,混焼,3,重油,湿式,2039,100,,,,,,,,,,,,,,,,,,
fc04_34,37.8424442950184,140.941968042564,相馬共同火力発電株式会社,新地火力発電所,福島県相馬郡新地町駒ヶ嶺字今神1番地1,1994-07,1,1000,専焼,3,石炭,湿式,3570,100,,,,,,,,,,,,,,,,,,
fc04_35,37.8424442950184,140.941968042564,相馬共同火力発電株式会社,新地火力発電所,福島県相馬郡新地町駒ヶ嶺字今神1番地1,1995-07,2,1000,専焼,3,石炭,湿式,3570,100,,,,,,,,,,,,,,,,,,
fc04_36,37.6682503073253,141.009328906664,東北電力株式会社,原町火力発電所,福島県南相馬市原町区金沢字大船迫54,1997-07,1,1000,専焼,3,石炭,湿式,3610,100,,,,,,,,,,,,,,,,,,
fc04_37,37.6682503073253,141.009328906664,東北電力株式会社,原町火力発電所,福島県南相馬市原町区金沢字大船迫54,1998-07,2,1000,専焼,3,石炭,湿式,3610,100,,,,,,,,,,,,,,,,,,
fc04_38,38.9724721325649,139.831276076039,酒田共同火力発電株式会社,酒田火力発電所,山形県酒田市大字宮海字南浜1番19,1977-10,1,350,専混焼,3,COG,湿式,459,35,1984-09,,,,,,,,,,,,,,,,,
fc04_39,38.9724721325649,139.831276076039,酒田共同火力発電株式会社,酒田火力発電所,山形県酒田市大字宮海字南浜1番19,1978-10,2,350,専混焼,3,COG,湿式,459,35,1992-06,,,,,,,,,,,,,,,,,
fc04_40,40.1971391589113,139.9946366207,東北電力株式会社,能代火力発電所,秋田県能代市字大森山,1993-05,1,600,専焼,3,石炭,湿式,0,0,,,,,,,,,,,,,,,,,,
fc04_41,40.1971391589113,139.9946366207,東北電力株式会社,能代火力発電所,秋田県能代市字大森山,1994-12,2,600,専焼,3,石炭,湿式,2190,100,,,,,,,,,,,,,,,,,,
fc04_42,42.6130566514027,141.805879236658,北海道電力株式会社,苫東厚真火力発電所,北海道勇払郡厚真町浜厚真,1980-10,1,350,専焼,3,石炭,湿式,634,50,,,,,,,,,,,,,,,,,,
fc04_43,42.6130566514027,141.805879236658,北海道電力株式会社,苫東厚真火力発電所,北海道勇払郡厚真町浜厚真,1985-10,2,600,専焼,3,石炭,湿式,0,0,,,,,,,,,,,,,,,,,,
fc04_44,42.6130566514027,141.805879236658,北海道電力株式会社,苫東厚真火力発電所,北海道勇払郡厚真町浜厚真,2002-06,4,700,専焼,3,石炭,湿式,2309,100,,,,,,,,,,,,,,,,,,
fc04_45,43.4239446823598,141.844989495747,北海道電力株式会社,奈井江火力発電所,北海道空知郡奈井江町字キナウスナイ,1968-05,1,175,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_46,43.4239446823598,141.844989495747,北海道電力株式会社,奈井江火力発電所,北海道空知郡奈井江町字キナウスナイ,1970-02,2,175,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_47,43.4642787046937,141.890517158114,北海道電力株式会社,砂川火力発電所,北海道砂川市豊沼町53,1977-06,3,125,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_48,43.4642787046937,141.890517158114,北海道電力株式会社,砂川火力発電所,北海道砂川市豊沼町53,1982-05,4,125,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_49,33.2644999803921,131.70741706946,九州電力株式会社,新大分火力発電所,大分県大分市大字青崎4番1,1991-06,1コ,690,専焼,4,LNG,,5400,100,,,,,,,,,,,,,,,,,,
fc04_50,33.2644999803921,131.70741706946,九州電力株式会社,新大分火力発電所,大分県大分市大字青崎4番1,1995-02,2コ,870,専焼,4,LNG,,5670,100,,,,,,,,,,,,,,,,,,
fc04_51,33.2644999803921,131.70741706946,九州電力株式会社,新大分火力発電所,大分県大分市大字青崎4番1,1998-07,3コ,735,専焼,4,LNG,,9440,100,,,,,,,,,,,,,,,,,,
fc04_52,33.907638949436,130.859861134985,九州電力株式会社,新小倉火力発電所,福岡県北九州市小倉北区西港町64番地1,1978-09,3,600,専焼,4,LNG,,1830,100,,,,,,,,,,,,,,,,,,
fc04_53,33.907638949436,130.859861134985,九州電力株式会社,新小倉火力発電所,福岡県北九州市小倉北区西港町64番地1,1979-06,4,600,専焼,4,LNG,,1830,100,,,,,,,,,,,,,,,,,,
fc04_54,33.907638949436,130.859861134985,九州電力株式会社,新小倉火力発電所,福岡県北九州市小倉北区西港町64番地1,1983-07,5,600,専焼,4,LNG,,1740,100,,,,,,,,,,,,,,,,,,
fc04_55,33.9511939888142,132.123750047307,中国電力株式会社,柳井火力発電所,山口県柳井市大字柳井字宮本塩浜1578-8,1992-12,1コ,750,専焼,4,LNG,,5610,100,,,,,,,,,,,,,,,,,,
fc04_56,33.9511939888142,132.123750047307,中国電力株式会社,柳井火力発電所,山口県柳井市大字柳井字宮本塩浜1578-8,1996-01,2コ,792,専焼,4,LNG,,4600,100,,,,,,,,,,,,,,,,,,
fc04_57,34.6177220010091,135.404693982781,関西電力株式会社,南港火力発電所,大阪府大阪市住之江区南港南7-3-8,1990-11,1,600,専焼,4,LNG,,1574,100,,,,,,,,,,,,,,,,,,
